epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,5193.03,0.89674,0.54942,0.90123,0.96441,0.86417,0.91681,0.60277,1.2047,0.63408,0.97225,0.0058915,0.0058915,0.0058915
85,5255.13,0.88335,0.53978,0.90151,0.96452,0.86379,0.917,0.60331,1.20491,0.63508,0.97257,0.005842,0.005842,0.005842
86,5317.75,0.87348,0.53688,0.90297,0.96423,0.864,0.91701,0.60332,1.20451,0.63349,0.9723,0.0057925,0.0057925,0.0057925
87,5380.26,0.88881,0.53941,0.89949,0.96447,0.86417,0.91689,0.60288,1.20443,0.63368,0.9722,0.005743,0.005743,0.005743
88,5442.52,0.88613,0.54273,0.90214,0.96473,0.86494,0.91719,0.60322,1.20408,0.63411,0.97212,0.0056935,0.0056935,0.0056935
89,5504.96,0.88467,0.53808,0.90049,0.96509,0.86417,0.91722,0.60356,1.20435,0.63469,0.97206,0.005644,0.005644,0.005644
90,5566.43,0.88421,0.54183,0.9003,0.965,0.86417,0.91717,0.60371,1.20436,0.6335,0.97209,0.0055945,0.0055945,0.0055945
91,5628.18,0.88963,0.54497,0.90721,0.96574,0.86417,0.91706,0.60417,1.20435,0.63343,0.97196,0.005545,0.005545,0.005545
92,5691.23,0.87774,0.5361,0.90173,0.96543,0.86417,0.91708,0.60451,1.20419,0.63409,0.97205,0.0054955,0.0054955,0.0054955
93,5754.92,0.88524,0.54352,0.90127,0.96381,0.86371,0.91716,0.60318,1.20409,0.63271,0.97219,0.005446,0.005446,0.005446
94,5817.66,0.8812,0.53937,0.89773,0.96381,0.86366,0.91676,0.60322,1.20417,0.63333,0.97226,0.0053965,0.0053965,0.0053965
95,5883.16,0.88289,0.54429,0.89913,0.96372,0.86341,0.91717,0.60334,1.20426,0.63362,0.97227,0.005347,0.005347,0.005347
96,5948.2,0.88867,0.54879,0.89934,0.96503,0.86335,0.91732,0.60336,1.2043,0.63279,0.97246,0.0052975,0.0052975,0.0052975
97,6009.33,0.88494,0.53916,0.89894,0.96464,0.86383,0.91661,0.60316,1.20405,0.63284,0.97231,0.005248,0.005248,0.005248
98,6069.93,0.88144,0.5414,0.90007,0.96478,0.86341,0.91665,0.60325,1.20401,0.63316,0.9721,0.0051985,0.0051985,0.0051985
99,6130.2,0.88052,0.53666,0.89851,0.96466,0.86438,0.91675,0.60401,1.20401,0.63338,0.97222,0.005149,0.005149,0.005149
100,6190.66,0.88214,0.5404,0.89848,0.96468,0.86493,0.9172,0.60381,1.20409,0.63368,0.9722,0.0050995,0.0050995,0.0050995
101,6252.69,0.87668,0.53341,0.89619,0.96428,0.86265,0.91701,0.60331,1.20449,0.6338,0.97227,0.00505,0.00505,0.00505
102,6315,0.88191,0.53843,0.89976,0.96421,0.86343,0.91713,0.60355,1.20424,0.63387,0.97206,0.0050005,0.0050005,0.0050005
103,6377.3,0.89274,0.54696,0.90208,0.96473,0.86379,0.91726,0.60426,1.20438,0.63435,0.97225,0.004951,0.004951,0.004951
104,6439.42,0.87887,0.53427,0.90317,0.96468,0.86491,0.91738,0.60359,1.20433,0.6336,0.97222,0.0049015,0.0049015,0.0049015
105,6501.85,0.88052,0.54061,0.90093,0.96385,0.86458,0.91705,0.60353,1.20424,0.63309,0.97232,0.004852,0.004852,0.004852
106,6563.67,0.88774,0.54229,0.90053,0.96437,0.86456,0.91722,0.60402,1.20439,0.63328,0.9724,0.0048025,0.0048025,0.0048025
107,6623.74,0.87084,0.53494,0.89602,0.96466,0.86437,0.91717,0.60388,1.20446,0.63313,0.97251,0.004753,0.004753,0.004753
108,6684.05,0.88276,0.54061,0.89695,0.96357,0.86379,0.91726,0.60399,1.2045,0.6336,0.97229,0.0047035,0.0047035,0.0047035
109,6745.05,0.8772,0.53737,0.89646,0.96381,0.86366,0.9176,0.60405,1.20453,0.63445,0.97221,0.004654,0.004654,0.004654
110,6808.29,0.8778,0.53677,0.89453,0.96423,0.8638,0.91748,0.60392,1.20438,0.63397,0.97218,0.0046045,0.0046045,0.0046045
111,6871.52,0.87119,0.53178,0.89236,0.96422,0.86378,0.91728,0.60381,1.20459,0.63446,0.97206,0.004555,0.004555,0.004555
112,6931.73,0.89154,0.54601,0.89991,0.96426,0.86464,0.91724,0.60266,1.20434,0.63317,0.97212,0.0045055,0.0045055,0.0045055
113,6991.08,0.87655,0.53837,0.89583,0.96465,0.86422,0.91724,0.60327,1.20437,0.63356,0.97224,0.004456,0.004456,0.004456
114,7050.69,0.88094,0.53768,0.89641,0.96461,0.86306,0.91736,0.60372,1.20419,0.63306,0.97209,0.0044065,0.0044065,0.0044065
115,7110.43,0.88098,0.53759,0.89968,0.9646,0.86288,0.91743,0.60366,1.20413,0.63293,0.97224,0.004357,0.004357,0.004357
116,7170.29,0.8833,0.53644,0.89407,0.96467,0.86464,0.91756,0.6043,1.20406,0.63268,0.97216,0.0043075,0.0043075,0.0043075
117,7229.57,0.89177,0.54419,0.90215,0.96507,0.8644,0.91746,0.60382,1.20422,0.63303,0.9723,0.004258,0.004258,0.004258
118,7288.57,0.88412,0.53922,0.89865,0.96504,0.86369,0.91734,0.6036,1.20443,0.63348,0.97239,0.0042085,0.0042085,0.0042085
